No,領域,タイプ名,猫ネーム,キャッチ,家猫化ポイント,X,Y,チュール,キャットタワー,改善策,副作用,出典,URL,根拠区分,根拠要約,座標根拠,根拠レベル,出典2,URL2
27,文化・心理,安定至上(大企業・公務員志向),安定だいじ猫,失敗回避で安定を最優先,飼い主=安定した組織。自律的キャリアを手放す,5,6,「どこでも通用する力」がもたらす別種の安心,安定の中でも挑戦と学びが推奨される環境,安定そのものは悪でないが、組織への過度の依存はリスクにもなる。組織内外で通用する専門性・人脈・健康という「持ち運べる安心」を主体的に蓄える。安定を土台に小さな挑戦や副業・学び直しを重ね、環境変化に適応できる力を保つことで、庇護依存から自律的キャリアへ移る。,過度な不安煽りは離職・動揺(対策:安定を否定せず選択肢を増やす提案に留める),リスク回避選好・キャリア研究,https://en.wikipedia.org/wiki/Risk_aversion,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=5、Y=6を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
28,文化・心理,決断疲れ・おすすめ任せ,おまかせ上手猫,選ぶのが面倒で人/AIに任せる,飼い主=推薦者。選ぶ力を手放す,7,6,「自分で選んでよかった」という納得感,重要な選択に集中でき、些事は委任できる環境,意思決定を全て他者やAIに委ねるのでなく、重要な選択は自分で行い、些事のみ委任する切り分けを持つ。決断疲れ(自我消耗)を防ぐため選択肢を絞り込み、判断のルールやルーティンでエネルギーを温存する。自分の価値観に照らして選ぶ訓練を重ね、選ぶ力を保つ。,委任の線引き失敗で主体性低下(対策:重要事項リストを決め委任範囲を明確化),R.Baumeister 自我消耗の研究(1998),https://en.wikipedia.org/wiki/Ego_depletion,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=7、Y=6を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
29,文化・心理,自己責任論の内面化・諦観,がんばり背負い猫,構造問題も自分のせいと諦める,飼い主=現状。社会を変える発想を手放す,4,7,個人と構造を切り分ける視点,声を上げても責められない、連帯できる環境,構造的な問題まで「自分のせい」と抱え込む傾向に対し、個人の努力と社会の仕組みを切り分ける視点を持つ。同じ困りごとを抱える人とつながり、声を上げる回路(相談・当事者運動・政策提言)を知る。諦観を「適応」でなく「沈黙させられた状態」と捉え直し、変えられる部分に働きかける。,構造論が個人の努力軽視に振れる恐れ(対策:自助と社会的支援の両輪で捉える),M.Lerner 公正世界仮説(1980),https://en.wikipedia.org/wiki/Just-world_hypothesis,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=4、Y=7を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
30,文化・心理,推し活没入(現実退避),推しと生きる猫,推しに時間と感情を集中,飼い主=推し/コンテンツ。現実の主導権を手放す,8,6,熱量を現実の創作・活動に還流する場,推し活と現実が両立し、仲間とつながれる環境,推し活の熱量自体は肯定しつつ、現実逃避に偏らないようバランスを取る。推しから得るエネルギーや学びを、自分の創作・仕事・地域活動にも還流させる。ファンコミュニティでの企画運営や発信を通じて、受け身の消費から主体的な活動へつなげ、現実の課題に向き合う力を養う。,否定は反発・依存強化(対策:推し活を否定せず現実側の魅力を増やす),Horton & Wohl パラソーシャル関係(1956),https://en.wikipedia.org/wiki/Parasocial_interaction,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=8、Y=6を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
31,文化・心理,ミニマリスト(他者インフラ依存),手ぶら身軽猫,持たない暮らしを徹底,飼い主=社会インフラ。自前の備えを手放す,7,5,「最小限でも自律できる」備えの安心,身軽さを保ちつつ、要所は自前で握れる環境,持たない暮らしを徹底しつつ、社会インフラ停止時にも自律できる最低限の備え(食料・現金・スキル)は確保する。「持たない自由」が「他者依存」に転じていないか点検し、所有を減らす目的を消費批判や身軽さといった自分の価値観に照らして明確にする。身軽さと自立の両立を図る。,過度な備えはミニマリズムと矛盾(対策:重要度で線引きし最小限に絞る),佐々木典士『ぼくたちに、もうモノは必要ない。』(2015),https://ja.wikipedia.org/wiki/ミニマリスト,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=7、Y=5を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
32,身体・健康,座りっぱなし・室内完結(身体不活動),おうちゆったり猫,一日中座って動かない・室内で完結,飼い主=座位中心の生活。身体の自律を手放す,6,6,日常に溶け込む「ついで運動」の手軽さ,自然に体を動かせる、歩きたくなる環境,長時間の座位・室内完結を避け、こまめな中断と日常的な身体活動で機能を維持する。階段利用・徒歩移動・立ち作業など「ついで運動」を生活に組み込み、運動を特別な努力でなく習慣にする。歩きやすい環境づくりや仲間との活動で継続性を高め、身体の自律と健康を守る。,急な負荷は怪我リスク(対策:強度を段階的に上げ無理なく継続),WHO『身体活動・座位行動ガイドライン』(2020)/WHO 身体不活動の警告(2022),https://www.who.int/publications/i/item/9789240015128,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=6、Y=6を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
33,身体・健康,超加工食品依存,さっとごはん猫,調理せず加工食品で済ます,飼い主=食品産業。食の自律を手放す,8,6,手軽でおいしい「ちょい自炊」の成功体験,自炊しやすく、素材食が手に入りやすい環境,超加工食品の利便を活かしつつ、自炊・素材食を一定割合確保する。完璧な自炊でなく簡単な調理や下処理済み食材の活用から始め、食を産業に丸投げしない技能を保つ。栄養と食費の自己管理という主体性を取り戻し、健康リスク(肥満・生活習慣病)を抑えつつ無理なく食生活を整える。,自炊負担で挫折しやすい(対策:作り置き・簡便調理で続けられる形にする),Monteiro NOVA分類/超加工食品の健康影響研究(BMJ等),https://en.wikipedia.org/wiki/Ultra-processed_food,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=8、Y=6を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
34,身体・健康,快適環境最適化マニア,快適チューニング猫,空調・睡眠・栄養を機器で最適化,飼い主=最適化機器。身体の適応力を手放す,9,6,機器に頼らず整える「素の調整力」,テクノロジーを使いつつ、自然な適応力も鍛える環境,空調・睡眠・栄養を機器で最適化する一方、機器なしでも自分を整える適応力を残す。データ計測を自己理解に活かしつつ数値に縛られすぎず、暑さ寒さや空腹など自然な身体感覚も保つ。テクノロジーを「補助」と位置づけ、過剰な最適化依存が身体の調整能力を退化させないよう注意する。,計測過多が不安・強迫を生む(対策:測る項目を絞り目的を明確にする),Quantified Self 運動/生体最適化研究,https://en.wikipedia.org/wiki/Quantified_self,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=9、Y=6を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
35,関係・家族,孤立だが快適(つながり放棄),ひとり気まま猫,人付き合いを避け一人で完結,飼い主=快適な孤立。関係資本を手放す,6,7,負担の少ない「弱いつながり」の心地よさ,干渉されず、必要な時だけつながれる環境,快適な孤立と孤独は別物。干渉の少ない「弱いつながり」(趣味の集まり・オンラインの緩い関係・行きつけの場)を意図的に維持し、いざという時に頼れる関係資本を確保する。孤立を選ぶ自由を尊重しつつ、健康・防災・困窮のリスクを踏まえ、最低限の社会接点だけは残すよう促す。,つながり強制は逆効果・負担(対策:強制せず低負荷の接点を選択肢として用意),英 孤独担当大臣設置(2018)/日本 孤独・孤立対策担当(2021),https://en.wikipedia.org/wiki/Minister_for_Loneliness,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=6、Y=7を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
36,関係・家族,完全専業依存(配偶者扶養),家庭を守る猫,配偶者に経済を全面依存,飼い主=配偶者。経済的自立の選択肢を手放す,8,7,「いつでも独り立ちできる」選択肢の安心,役割分担が対等で、いつでも再就労できる環境,配偶者への全面的な経済依存はリスクにもなる。家事・育児・介護の価値を正当に評価しつつ、いざという時に独立して生きられる選択肢(就労可能なスキル・資格・社会接点)を保持する。家計や資産の状況を把握し、夫婦の役割分担を対等な合意の上に置き、経済的自律の余地を残す。,自立要求が関係不和を招く恐れ(対策:強制でなく選択肢確保として位置づける),内閣府『無償労働(家事等)の貨幣評価』推計,https://en.wikipedia.org/wiki/Unpaid_work,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=8、Y=7を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
37,思想・未来,監視に喜んで従う,便利さ歓迎猫,利便と引換えにデータを差し出す,飼い主=プラットフォーム資本。自己情報の主権を手放す,10,8,「自分のデータは自分のもの」という主権感覚,利便とプライバシーが両立し、選択できる環境,利便と引き換えにデータを無自覚に差し出すのでなく、提供範囲を意識的に選択・制限する。プライバシー設定やデータ削除権を活用し、監視資本主義の仕組み(行動データの収益化)を理解する。便利さを享受しつつも自己情報の主権を手放さない使い方を選び、必要に応じサービスを使い分ける。,過度な遮断は利便・機能低下(対策:重要データのみ保護し用途で線引き),Shoshana Zuboff『The Age of Surveillance Capitalism』(2019),https://en.wikipedia.org/wiki/The_Age_of_Surveillance_Capitalism,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=10、Y=8を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
38,思想・未来,ナッジ誘導の最適化人間,するっと選ぶ猫,設計された選択肢に沿って動く,飼い主=選択設計者。選ぶ過程の自律を手放す,8,7,設計の意図を見抜く「ひと呼吸」の習慣,選択の自由が確保され、初期設定を変えられる環境,設計された選択肢に流されるのでなく、その背後の意図を読み、必要なら逆らって選ぶ。初期設定(デフォルト)が誰の利益かを問い、重要な選択では立ち止まって自分で判断する習慣を持つ。ナッジは良い行動を促す面もあるため全否定せず、操作されうると自覚した上で主体的に選ぶ。,全てを疑うと選択コスト増(対策:重要度に応じ吟味の深さを変える),Thaler & Sunstein『Nudge』(2008),https://en.wikipedia.org/wiki/Nudge_(book),既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=8、Y=7を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
39,思想・未来,幸福な家畜(快楽的従属),ぬるま湯ごきげん猫,娯楽と快適で満たされ批判力を失う,飼い主=娯楽産業/体制。批判的思考を手放す,7,9,快適の中でも問い続ける批判的な視点,娯楽を楽しみつつ、考える余白がある環境,娯楽と快適に満たされ批判力を失う「快楽的従属」に対し、楽しみつつも問い続ける批判的距離を保つ。情報を受け身で消費するだけでなく、出所や意図を吟味し、不快な現実からも目を背けない習慣を持つ。快適さを享受する自由と、それに飲み込まれない自律を両立させ、考える余白を確保する。,過度な懐疑は楽しみを損なう(対策:娯楽と思考の時間を区切り共存させる),A.Huxley『すばらしい新世界』(1932)/N.Postman『Amusing Ourselves to Death』(1985),https://en.wikipedia.org/wiki/Brave_New_World,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=7、Y=9を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
40,思想・未来,自己家畜化を肯定する人,飼われ心地よし猫,飼い慣らされた快適を是とする,飼い主=文明/制度。野生的自律を手放す,6,9,「飼い慣らし」を自覚し選び直す余地,快適を享受しつつ、いつでも野生に戻れる環境,飼い慣らされた快適を是とする立場も一つの選択だが、無自覚な全面依存は脆弱性を生む。自己家畜化の進行を自覚した上で、最低限の自律(自分で考え・動き・選ぶ力)は残すよう促す。快適と引き換えに何を手放しているかを定期的に点検し、必要なときに野生=自律を取り戻せる余地を確保する。,自律強制は本人の選択の自由と矛盾(対策:選択肢の提示に留め強制しない),R.Wrangham『The Goodness Paradox』(2019)/小原秀雄 自己家畜化論,https://en.wikipedia.org/wiki/Self-domestication,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=6、Y=9を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
41,思想・未来,ポスト労働・脱労働志向,働き方見直し猫,自動化前提で働かない権利を望む,飼い主=自動化システム。生産の担い手性を手放す,4,7,労働外の「社会的役割」という新たな張り合い,自動化の恩恵を享受しつつ、自治に関われる環境,自動化を前提に労働を手放す志向では、生産を機械・他者に丸投げしないバランスが要る。労働外でも社会的役割(ケア・創作・自治・教育)を主体的に担い、技術の便益を享受しつつ意思決定や運営に関わる。「働かない自由」を受動的消費でなく、自律的な活動と参加の機会として活かす。,全面委託は技能・主体性の喪失(対策:担い手としての役割を意識的に持つ),Srnicek & Williams『Inventing the Future』(2015),https://en.wikipedia.org/wiki/Post-work_society,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=4、Y=7を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
42,思想・未来,身体放棄(トランスヒューマニズム),からだアップデート猫,身体を技術で補完・代替したい,飼い主=技術。身体という基盤を手放す,9,8,技術を道具に留める「身体の主権」感覚,技術で補完しつつ、生身の自律も保てる環境,身体を技術で補完・代替する志向において、技術を道具に留め生身の主体性を保つ。能力拡張の便益を享受しつつ、全面依存による脆弱性(故障・依存・格差)を見据える。技術と身体の関係を主体的に選択し、「身体を手放す」のでなく「身体を拡張する」立場で自律の基盤を維持する。,技術依存は故障・格差リスク(対策:技術の限界を踏まえ代替手段を確保),Nick Bostrom『Transhumanist FAQ』(2003),https://en.wikipedia.org/wiki/Transhumanism,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=9、Y=8を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
43,思想・未来,ケアロボ前提の老後設計,ロボ見守り猫,介護を機械に任せる前提で生きる,飼い主=ケア技術。人とのケア関係を手放す,7,7,機械と人のケアを組み合わせる安心,テクノロジーと人の関係が両立する環境,介護を機械に任せる前提でも、人とのケア関係を完全に手放さない設計を持つ。ケアロボットや見守り技術で負担と人手不足を補いつつ、対話や交流など人間的なケアの回路を残す。技術を「人を置き換えるもの」でなく「人のケアを支えるもの」と位置づけ、孤立や尊厳の喪失を防ぐ。,機械任せが孤立・尊厳低下を招く(対策:人的ケアと併用し関係を維持),経済産業省 介護ロボット導入施策/関連白書,https://www.meti.go.jp/policy/mono_info_service/healthcare/,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=7、Y=7を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
44,文化・心理,終活・縮小均衡(守りの撤退),暮らし整え猫,拡大せず守りに入り縮小,飼い主=安全志向。新たな挑戦を手放す,5,6,小さな新規挑戦がもたらす生きがい,安全を保ちつつ、緩やかに挑戦できる環境,守りに入り縮小する一方で、能動性を保つ小さな挑戦を続ける。終活や生活の整理は前向きな準備と捉えつつ、新しい学び・交流・趣味など「広げる活動」も併せ持つ。撤退一辺倒でなく、自分のペースで挑戦と整理のバランスを取り、生きがいと自律を最後まで保ち続ける。,過度な挑戦は負担・リスク(対策:無理のない範囲で小さく試す),内閣府『高齢社会白書』(各年),https://www8.cao.go.jp/kourei/whitepaper/index-w.html,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=5、Y=6を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
45,デジタル,スマホ・アテンション中毒(ドゥームスクロール),通知にそわそわ猫,通知と刺激に絶えず反応し延々スクロール,飼い主=注意商人。注意の主権を手放す,10,7,まとまった集中時間がもたらす充実感,通知に邪魔されず、注意を自分で配れる環境,通知・刺激に絶えず反応し注意を企業に収奪される状態から、注意の主権を取り戻す。通知オフ・利用時間制限・画面の白黒化などで依存構造に介入し、際限ないスクロールを断つ。集中できる時間と場所を確保し、注意を「奪われる」から「自分で配る」へ。デジタルとの距離を意図的に設計する。,急な遮断はFOMO・反動利用(対策:段階的に減らし代替の楽しみを用意),Tim Wu『The Attention Merchants』(2016)/Adam Alter『Irresistible』(2017),https://en.wikipedia.org/wiki/The_Attention_Merchants,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=10、Y=7を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
46,デジタル/関係,マッチング依存(出会いの外注),アプリで出会う猫,出会いをアプリの推薦に委ねる,飼い主=マッチングPF。出会いを築く力を手放す,9,6,アプリ外の偶然の出会いがもたらす豊かさ,オンラインと対面の出会いが両立する環境,出会いをアプリの推薦に全面外注せず、対面・趣味・地域などアプリ外の出会いの回路も主体的に持つ。マッチングの便益を活かしつつ、アルゴリズムが提示する「条件」に縛られすぎず、自分で関係を育てる力を保つ。効率化された出会いと偶然の出会いを使い分け、関係形成の主導権を手放さない。,アプリ脱却が出会い機会減(対策:オンラインも併用し接点を複線化),"Finkel et al. オンラインデートの実証研究(2012, PSPI)",https://doi.org/10.1177/1529100612436522,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=9、Y=6を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
47,時間・仕事,長時間労働で参加時間が取れない,残業ぎゅうぎゅう猫,行きたいけれど、終業時間が読めない,時間不足が参加の主な壁。無関心ではなく可処分時間の不足。,6.8,7.4,30分だけ・途中参加OK,夜でも入れるオンライン席,終了時刻を明示し、途中入退室OK・非同期参加を標準にする。,短時間化だけで恒常的な長時間労働の問題を見えにくくしない。,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/,時間制約,災害ボランティアに参加を希望しない理由として、経験・体力・安全衛生への不安、時間不足、費用、情報不足、周囲の理解不足などが回答されている。,外出・対面参加が難しくなりやすいためYを相対的に高低配置し、参加判断は本人側にもあるが職場条件の影響が大きいためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査 + A:公的統計,総務省統計局「令和3年社会生活基本調査」,https://www.stat.go.jp/data/shakai/2021/kekka.html
48,時間・仕事,不規則シフトで予定が立てにくい,シフト読めない猫,来月の予定が、まだ分からない,固定日時のイベントと不規則勤務の相性が悪い。,7.6,6.8,直前参加OK,複数日程・オンデマンド枠,同内容を複数回実施し、当日参加・録画・後追い回答を用意する。,直前参加だけにすると運営負荷が増えるため定員設計が必要。,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/,時間制約,災害ボランティアに参加を希望しない理由として、経験・体力・安全衛生への不安、時間不足、費用、情報不足、周囲の理解不足などが回答されている。,固定日程への参加難度が中〜高ためYを相対的に高低配置し、個人の勤務パターンへの適応余地が大きいためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査 + A:公的統計,総務省統計局「令和3年社会生活基本調査」,https://www.stat.go.jp/data/shakai/2021/kekka.html
49,時間・仕事,通勤・仕事疲労で余力がない,通勤へとへと猫,家に着いたら、もう電池切れ,参加意欲があっても移動・勤務後の身体的余力が残らない。,7.2,7.0,家から1クリック参加,帰宅後でも負担の少ない短時間オンライン,移動不要・カメラOFF・聞くだけ参加を選べるようにする。,オンライン一択にせず対面を好む人の選択肢も残す。,総務省統計局「令和3年社会生活基本調査」,https://www.stat.go.jp/data/shakai/2021/kekka.html,生活時間・余力,生活時間、自由時間、ボランティア活動などを把握する基幹統計。参加可能な時間や生活制約を考える基礎資料になる。,外出追加の負担が参加を抑えやすいためYを相対的に高低配置し、本人の生活リズムに合わせる解決が中心ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計 + A:公的統計・行政調査,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/
50,時間・仕事,平日休みで地域行事と合わない,平日ひっそり猫,みんなが休みの日に、私は仕事,土日中心の地域活動では予定が噛み合わない。,6.4,6.2,平日回もあります,曜日を分散した開催,平日・休日・オンラインを組み合わせ、同じ活動への複数入口を用意する。,開催回数増で運営が疲弊しないよう共同運営にする。,総務省統計局「令和3年社会生活基本調査」,https://www.stat.go.jp/data/shakai/2021/kekka.html,時間制約,生活時間、自由時間、ボランティア活動などを把握する基幹統計。参加可能な時間や生活制約を考える基礎資料になる。,外出自体より開催曜日のミスマッチが中心ためYを相対的に高低配置し、個人の勤務日程に合わせる余地があるためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計,,
51,時間・仕事,急な呼び出し・待機があり確約できない,呼び出し待機猫,行けるかどうか、当日まで約束できない,オンコールや家庭事情などで確定参加を約束しづらい。,6.9,6.6,キャンセル無料,予約なし・途中退出OK席,欠席連絡不要、予約なし枠、代替の非同期タスクを用意する。,無断欠席扱いの文化を見直しつつ、必要な安全管理は残す。,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/,予定不確実性,災害ボランティアに参加を希望しない理由として、経験・体力・安全衛生への不安、時間不足、費用、情報不足、周囲の理解不足などが回答されている。,対面参加はできるが確約が難しいためYを相対的に高低配置し、本人都合と外部要因が混在するためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査,,
52,時間・仕事,短時間なら地域参加できる,30分なら行く猫,長時間は無理。でも少しなら,参加可能時間が短いだけで、関心そのものはある。,5.8,5.2,30分ミッション,役割を小さく分けたスポット席,受付30分、写真整理20分などタスクをマイクロ化する。,細切れ化で責任の所在が曖昧にならないよう役割接続を設計する。,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/,参加設計,災害ボランティアに参加を希望しない理由として、経験・体力・安全衛生への不安、時間不足、費用、情報不足、周囲の理解不足などが回答されている。,短時間なら外に出られるためYは中程度ためYを相対的に高低配置し、共同活動への接続が比較的しやすいためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査 + B:学術研究,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/
53,子育て・ケア,保育・乳幼児ケアで外出しづらい,おむつ優先猫,今は猫の手より、抱っこの手が必要,乳幼児ケアがまとまった外出時間を取りにくくする。,6.2,8.1,子連れ歓迎,授乳・おむつ替え・休憩スペース,子連れ可、途中退出可、オンライン参加、見守り体制をセットにする。,保護者に追加の役割を当然視しない。,内閣府男女共同参画局「令和2年版 男女共同参画白書」,https://www.gender.go.jp/about_danjo/whitepaper/r02/zentai/index.html,ケア責任,仕事、家事、育児、介護など生活時間と役割分担の実態を扱う白書。ケア責任や時間制約を参加設計に織り込む根拠に用いる。,外出制約が強いためYを相対的に高低配置し、家庭内ケアに合わせた個別調整が必要ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:政府白書 + A:公的統計,総務省統計局「令和3年社会生活基本調査」,https://www.stat.go.jp/data/shakai/2021/kekka.html
54,子育て・ケア,送迎で夕方の予定が埋まる,お迎えダッシュ猫,夕方は毎日タイムアタック,保育園・学校・習い事の送迎時間と地域活動が重なりやすい。,6.6,7.3,昼・朝・後追い参加,時間帯を選べる複数入口,夕方固定を避け、昼休み・朝・録画・非同期回答を用意する。,家庭のスケジュールは多様なので一律の「子育て時間」を決めつけない。,内閣府男女共同参画局「令和2年版 男女共同参画白書」,https://www.gender.go.jp/about_danjo/whitepaper/r02/zentai/index.html,ケア責任,仕事、家事、育児、介護など生活時間と役割分担の実態を扱う白書。ケア責任や時間制約を参加設計に織り込む根拠に用いる。,時間帯ミスマッチが主で外出不能ではないためYを相対的に高低配置し、家族単位の予定に左右されるためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:政府白書 + A:公的統計,総務省統計局「令和3年社会生活基本調査」,https://www.stat.go.jp/data/shakai/2021/kekka.html
